Levels,Environment,Competitive,Classes,Lab,Sports,Toilet,Sports_Competition,Students_per_class,Langugae,Timings,Meetings,Fests,Field_trips,Water,Mid_day_meal,Quality_of_food,Assessment,Region,Happiness
hard,knowledge,highly,6,not always,02-Mar,bad,never,21-30,english,7,annually,once,never,always,no,can be improved,never,A,9.184911904
moderate,Assessment,moderate,6,not always,02-Mar,better,sometimes,21-30,english,7,Quarterly,twice,never,always,no,can be improved,weekly,G,5.336509369
easy,learner,moderate,6,yes,02-Mar,better,never,41-50,hindi,5,Quarterly,twice,twice,always,yes,can be improved,monthly,H,2.794721878
hard,Assessment,highly,8,not always,06-Aug,bad,never,21-30,telugu,7,Quarterly,once,never,never,no,can be improved,monthly,G,9.513858152
moderate,knowledge,moderate,8,no,02-Mar,bad,sometimes,41-50,hindi,6,half yearly,twice,never,never,no,can be improved,weekly,B,8.749009526
easy,knowledge,moderate,10,not always,06-Aug,better,never,31-40,hindi,5,annually,once,never,never,yes,good,never,G,8.410022
hard,learner,moderate,8,not always,02-Mar,bad,never,41-50,english,5,half yearly,twice,once,never,yes,excellent,monthly,J,3.501024548
hard,knowledge,moderate,6,yes,06-Aug,better,yes,21-30,telugu,5,annually,twice,never,always,yes,can be improved,monthly,E,3.211240077
moderate,learner,moderate,8,no,04-May,bad,yes,31-40,telugu,6,annually,once,once,sometimes,yes,excellent,weekly,A,2.867066694
moderate,Assessment,highly,8,no,02-Mar,bad,yes,31-40,english,7,Quarterly,twice,once,sometimes,no,excellent,monthly,B,3.943444784
hard,Assessment,highly,6,not always,02-Mar,hygiene,never,31-40,hindi,5,annually,never,never,always,yes,can be improved,weekly,F,2.789209293
hard,Assessment,not,8,no,06-Aug,better,yes,41-50,english,6,half yearly,once,twice,sometimes,yes,good,weekly,H,1.724129066
easy,learner,moderate,6,no,06-Aug,bad,yes,31-40,telugu,6,half yearly,never,twice,never,yes,can be improved,never,K,1.367798788
easy,learner,highly,8,not always,02-Mar,bad,yes,31-40,telugu,5,half yearly,once,twice,always,yes,can be improved,weekly,I,3.527976
hard,knowledge,highly,6,not always,02-Mar,hygiene,never,41-50,english,5,half yearly,twice,never,never,yes,can be improved,never,D,4.021694816
moderate,Assessment,highly,10,yes,06-Aug,hygiene,yes,21-30,english,5,annually,never,once,never,no,can be improved,never,F,3.141095774
easy,Assessment,moderate,6,no,06-Aug,better,yes,31-40,hindi,5,annually,once,never,never,yes,can be improved,monthly,C,4.542914781
easy,Assessment,moderate,6,not always,02-Mar,hygiene,yes,41-50,telugu,5,Quarterly,twice,never,sometimes,no,excellent,monthly,B,5.275006112
moderate,knowledge,not,10,not always,04-May,better,sometimes,21-30,telugu,5,half yearly,twice,never,never,yes,excellent,weekly,J,4.623801391
moderate,Assessment,not,10,yes,06-Aug,better,never,21-30,english,7,Quarterly,never,twice,never,yes,good,weekly,B,8.454003677
easy,Assessment,not,6,no,04-May,better,yes,21-30,telugu,5,Quarterly,twice,once,always,no,good,weekly,E,5.582830015
hard,learner,not,6,not always,04-May,hygiene,yes,21-30,english,5,half yearly,never,twice,always,yes,excellent,never,B,2.441992281
easy,learner,not,6,no,06-Aug,hygiene,never,21-30,hindi,6,annually,never,once,always,no,excellent,never,B,6.763308539
easy,knowledge,highly,6,yes,02-Mar,better,sometimes,21-30,hindi,7,half yearly,never,never,never,no,can be improved,weekly,C,3.979960272
easy,learner,highly,10,yes,02-Mar,bad,never,41-50,telugu,7,Quarterly,twice,twice,always,yes,good,monthly,J,6.443699428
moderate,Assessment,moderate,6,yes,04-May,bad,sometimes,21-30,english,6,Quarterly,twice,twice,never,no,can be improved,monthly,H,3.775414906
easy,Assessment,not,10,no,04-May,better,sometimes,41-50,hindi,6,half yearly,twice,once,never,no,can be improved,monthly,F,6.194527496
moderate,Assessment,highly,6,no,02-Mar,bad,yes,31-40,english,7,annually,never,once,never,no,can be improved,weekly,I,1.27870436
easy,Assessment,highly,10,no,02-Mar,hygiene,sometimes,41-50,hindi,6,Quarterly,once,never,always,no,good,never,D,3.845831161
hard,learner,moderate,10,not always,04-May,better,sometimes,31-40,english,5,half yearly,twice,once,never,no,can be improved,weekly,J,9.360528859
moderate,learner,highly,6,not always,04-May,bad,sometimes,31-40,hindi,6,annually,never,never,never,yes,good,monthly,I,1.402949489
hard,Assessment,highly,10,not always,02-Mar,bad,never,21-30,hindi,6,annually,once,once,never,yes,excellent,never,D,9.976402956
moderate,knowledge,highly,6,yes,04-May,bad,sometimes,21-30,telugu,6,half yearly,once,twice,never,no,can be improved,monthly,K,9.607781552
moderate,learner,not,10,not always,02-Mar,hygiene,never,21-30,english,6,annually,once,once,never,yes,good,weekly,C,2.153765291
